,Unnamed: 0,ID,NAME,GEOID,B19113e1,B02001e1,B02001e2,B02001e3,B02001e4,B02001e5,B02001e6,B17001e2,ratio_white,ratio_black,ratio_asian,ratio_island,ratio_native,ratio_poverty,ratio_other
0,0,31039,Cuming,05000US31039,73154,8952,8432,9,32,27,11,606,0.9419124218051832,0.0010053619302949062,0.0030160857908847183,0.0012287756925826632,0.0035746201966041107,0.06769436997319035,0.0492627345844504
1,1,53069,Wahkiakum,05000US53069,66292,4268,3877,54,31,79,1,309,0.9083880037488284,0.012652296157450796,0.018509840674789127,0.00023430178069353328,0.0072633552014995315,0.07239925023430178,0.05295220243673857
2,2,35011,De Baca,05000US35011,55556,2040,1364,32,5,7,0,323,0.6686274509803921,0.01568627450980392,0.003431372549019608,0.0,0.0024509803921568627,0.15833333333333333,0.3098039215686275
3,3,31109,Lancaster,05000US31109,81121,313158,269630,12501,2147,13153,241,37502,0.8610030719317405,0.03991914624566513,0.04200116235255047,0.0007695795732505636,0.00685596408202888,0.11975424546075783,0.04945107581476443
4,4,31129,Nuckolls,05000US31129,60720,4244,4127,6,4,75,5,467,0.9724316682375118,0.001413760603204524,0.01767200754005655,0.00117813383600377,0.000942507068803016,0.11003770028275212,0.006361922714420323
5,5,72085,Las Piedras,05000US72085,25489,37499,7645,29056,24,1,0,15679,0.20387210325608682,0.7748473292621136,2.6667377796741245e-05,0.0,0.0006400170671217899,0.418117816475106,0.020613883036880984
6,6,46099,Minnehaha,05000US46099,80213,188674,161852,10709,3896,3939,50,18246,0.8578394479366527,0.05675927790792584,0.020877280388394797,0.0002650073672048083,0.020649374052598663,0.09670648844037864,0.043609612347223214
7,7,48327,Menard,05000US48327,53817,2119,1710,1,3,0,0,276,0.8069844266163284,0.00047192071731949034,0.0,0.0,0.001415762151958471,0.13025011798017933,0.19112789051439363
8,8,6091,Sierra,05000US06091,74583,3040,2963,2,51,0,0,291,0.9746710526315789,0.0006578947368421052,0.0,0.0,0.016776315789473684,0.09572368421052632,0.007894736842105274
9,9,21053,Clinton,05000US21053,40608,10193,9890,37,0,30,0,2423,0.970273717256941,0.003629942117139213,0.002943196311193957,0.0,0.0,0.23771215540076523,0.023153144314725826
