OBJECTID,STATEFP,COUNTYFP,COUNTYNS,ID,NAME,GEOID,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
1,31,39,835841,31039,Cuming,05000US31039,Cuming County,6,H1,G4020, , , ,A,1477652222,10690952,41.9158651,-96.7885168,1.624427291,0.161523758
2,53,69,1513275,53069,Wahkiakum,05000US53069,Wahkiakum County,6,H1,G4020, , , ,A,680962890,61582307,46.2946377,-123.4244583,1.449176795,0.086692186
3,35,11,933054,35011,De Baca,05000US35011,De Baca County,6,H1,G4020, , , ,A,6016819475,29089486,34.3592729,-104.3686961,3.455132603,0.592344048
4,31,109,835876,31109,Lancaster,05000US31109,Lancaster County,6,H1,G4020,339,30700, ,A,2169270569,22849484,40.7835474,-96.6886584,1.94338012,0.233861883
5,31,129,835886,31129,Nuckolls,05000US31129,Nuckolls County,6,H1,G4020, , , ,A,1489645188,1718484,40.1764918,-98.0468422,1.602281843,0.157690976
6,72,85,1804523,72085,Las Piedras,05000US72085,Las Piedras Municipio,13,H1,G4020,490,41980, ,A,87748359,32509,18.1871483,-65.871189,0.489266839,0.00749663
7,46,99,1265772,46099,Minnehaha,05000US46099,Minnehaha County,6,H1,G4020, ,43620, ,A,2089691755,18198481,43.6674723,-96.7957261,2.050524534,0.235255928
8,48,327,1383949,48327,Menard,05000US48327,Menard County,6,H1,G4020, , , ,A,2336237982,613559,30.8852677,-99.8588613,2.017358934,0.220448006
9,6,91,277310,6091,Sierra,05000US06091,Sierra County,6,H1,G4020, , , ,A,2468694583,23299110,39.5769252,-120.5219926,3.064186554,0.261249353
10,21,53,516873,21053,Clinton,05000US21053,Clinton County,6,H1,G4020, , , ,A,510875755,21152699,36.7272577,-85.1360977,1.148505636,0.05366984
11,39,63,1074044,39063,Hancock,05000US39063,Hancock County,6,H1,G4020,534,22300, ,A,1376125660,6020647,41.0004711,-83.6660335,1.615461751,0.147929825
12,48,189,1383880,48189,Hale,05000US48189,Hale County,6,H1,G4020,352,38380, ,A,2602109427,246678,34.0684364,-101.8228879,2.018331694,0.254157381
13,1,27,161539,1027,Clay,05000US01027,Clay County,6,H1,G4020, , , ,A,1564251834,5285207,33.2703999,-85.8635254,2.022787178,0.151892177
14,48,11,1383791,48011,Armstrong,05000US48011,Armstrong County,6,H1,G4020,108,11100, ,A,2354581674,12219583,34.964179,-101.3566363,1.944937749,0.233601269
15,39,3,1074015,39003,Allen,05000US39003,Allen County,6,H1,G4020,338,30620, ,A,1042479889,11259523,40.7716274,-84.1061032,1.587688896,0.112394647
16,13,189,348794,13189,McDuffie,05000US13189,McDuffie County,6,H1,G4020, ,12260, ,A,666848710,23114025,33.4796231,-82.4787331,1.477137785,0.066932472
17,55,111,1581115,55111,Sauk,05000US55111,Sauk County,6,H1,G4020,357,12660, ,A,2153685971,45692999,43.428001,-89.9433184,2.334483851,0.244475114
18,5,137,69902,5137,Stone,05000US05137,Stone County,6,H1,G4020, , , ,A,1570754768,7842161,35.8570011,-92.1404819,2.092959003,0.157514855
19,41,63,1155135,41063,Wallowa,05000US41063,Wallowa County,6,H1,G4020, , , ,A,8147835329,14191752,45.593753,-117.1855796,4.660891269,0.94093756
20,42,7,1214112,42007,Beaver,05000US42007,Beaver County,6,H1,G4020,430,38300, ,A,1125901370,24162727,40.6841401,-80.3507209,1.421757138,0.122507132
21,28,61,695754,28061,Jasper,05000US28061,Jasper County,6,H1,G4020,279,29860, ,A,1751454613,3178416,32.0169894,-89.1194302,1.638634086,0.167492682
22,29,83,758496,29083,Henry,05000US29083,Henry County,6,H1,G4020, , , ,A,1805078265,91634021,38.3864909,-93.7926278,1.860905819,0.195567487
23,8,109,198170,8109,Saguache,05000US08109,Saguache County,6,H1,G4020, , , ,A,8206547705,4454510,38.0316514,-106.2346662,4.391842762,0.843148726
24,37,37,1008544,37037,Chatham,05000US37037,Chatham County,6,H1,G4020,450,20500, ,A,1765648430,70626784,35.7049939,-79.2514542,2.271794994,0.182870584
25,49,33,1448030,49033,Rich,05000US49033,Rich County,6,H1,G4020, , , ,A,2664700960,149106532,41.6275976,-111.2402269,3.060820907,0.304043008
26,40,1,1101788,40001,Adair,05000US40001,Adair County,6,H1,G4020, , , ,A,1486277939,8874158,35.8980428,-94.6510258,1.634371918,0.149233461
27,39,85,1074055,39085,Lake,05000US39085,Lake County,6,H1,G4020,184,17460, ,A,593807218,1942301625,41.9241163,-81.3926429,2.20979951,0.275207802
28,51,775,1789074,51775,Salem,05000US51775,Salem city,25,C7,G4020, ,40220, ,F,37602710,275156,37.2853329,-80.0552407,0.370710023,0.003848747
29,51,121,1674630,51121,Montgomery,05000US51121,Montgomery County,6,H1,G4020, ,13980, ,A,1001921573,6289787,37.1755344,-80.3877913,1.921669795,0.10229427
30,47,65,1639749,47065,Hamilton,05000US47065,Hamilton County,6,H1,G4020,174,16860, ,A,1404722581,86573147,35.163472,-85.2018432,1.98865311,0.147572627
31,35,35,929104,35035,Otero,05000US35035,Otero County,6,H1,G4020, ,10460, ,A,17126456785,36943378,32.6155988,-105.7513079,5.921271911,1.648982948
32,35,3,929108,35003,Catron,05000US35003,Catron County,6,H1,G4020, , , ,A,17933559836,14195265,33.9016208,-108.3919284,5.421435423,1.749751461
33,1,91,161572,1091,Marengo,05000US01091,Marengo County,6,H1,G4020, , , ,A,2530140237,14966620,32.2475911,-87.791091,2.638668611,0.243547188
34,56,23,1605076,56023,Lincoln,05000US56023,Lincoln County,6,H1,G4020, , , ,A,10555073735,49947393,42.2299932,-110.6829614,5.564641485,1.157185518
35,29,11,758460,29011,Barton,05000US29011,Barton County,6,H1,G4020, , , ,A,1533351029,12152201,37.5007989,-94.3440893,1.662180733,0.157483141
36,48,57,1383814,48057,Calhoun,05000US48057,Calhoun County,6,H1,G4020,544,38920, ,A,1312707005,1361884774,28.4417191,-96.5795739,2.504338718,0.246357915
37,51,735,1498436,51735,Poquoson,05000US51735,Poquoson city,25,C7,G4020,545,47260, ,F,39837595,163455830,37.1283599,-76.3035337,0.732547771,0.020619253
38,54,75,1550044,54075,Pocahontas,05000US54075,Pocahontas County,6,H1,G4020, , , ,A,2435206760,4094092,38.332606,-80.0101207,2.756889751,0.251331421
39,48,77,1383824,48077,Clay,05000US48077,Clay County,6,H1,G4020, ,48660, ,A,2819870186,72508536,33.7859042,-98.2129174,2.462781259,0.281556782
40,51,95,1480135,51095,James City,05000US51095,James City County,6,H1,G4020,545,47260, ,A,368724192,95246387,37.3248367,-76.7778878,1.738733803,0.047160428
41,31,101,835872,31101,Keith,05000US31101,Keith County,6,H1,G4020, , , ,A,2749531879,124672190,41.1942448,-101.6444493,2.394199407,0.308532205
42,31,137,835890,31137,Phelps,05000US31137,Phelps County,6,H1,G4020, , , ,A,1398048600,1646533,40.5163647,-99.4065568,1.589008363,0.148722979
43,22,19,558468,22019,Calcasieu,05000US22019,Calcasieu Parish,15,H1,G4020,324,29340, ,A,2756144275,78003935,30.2295588,-93.3580154,3.122474153,0.265583193
44,22,111,559528,22111,Union,05000US22111,Union Parish,15,H1,G4020,384,33740, ,A,2271261418,73624033,32.8293486,-92.3756501,2.292989046,0.225823917
45,40,135,1101855,40135,Sequoyah,05000US40135,Sequoyah County,6,H1,G4020, ,22900, ,A,1744289208,105113803,35.5024345,-94.7507569,2.094232326,0.183710039
46,1,49,161550,1049,DeKalb,05000US01049,DeKalb County,6,H1,G4020,497,22840, ,A,2012676480,4121543,34.460929,-85.803992,2.214333438,0.19786626
47,36,101,974148,36101,Steuben,05000US36101,Steuben County,6,H1,G4020,236,18500, ,A,3601520291,35040141,42.2667252,-77.3855253,2.722196324,0.39682214
48,42,53,1213669,42053,Forest,05000US42053,Forest County,6,H1,G4020, , , ,A,1106623930,8356609,41.513304,-79.249705,1.917819447,0.120258445
49,22,105,559500,22105,Tangipahoa,05000US22105,Tangipahoa Parish,15,H1,G4020,406,25220, ,A,2049482871,136678798,30.6215313,-90.4066303,2.478153936,0.205681827
50,51,179,1480173,51179,Stafford,05000US51179,Stafford County,6,H1,G4020,548,47900,47894,A,697237202,28088011,38.4132608,-77.4513342,1.422770876,0.07482345
51,26,109,1622997,26109,Menominee,05000US26109,Menominee County,6,H1,G4020,361,31940, ,A,2704053268,761798738,45.5362068,-87.5018115,3.582996704,0.399167723
52,18,73,450494,18073,Jasper,05000US18073,Jasper County,6,H1,G4020,176,16980,23844,A,1449563753,4428654,41.0176883,-87.1188137,1.712038716,0.155668681
53,13,25,351605,13025,Brantley,05000US13025,Brantley County,6,H1,G4020, ,15260, ,A,1147949245,10297607,31.1973339,-81.9829779,2.072032741,0.109609794
54,13,171,326713,13171,Lamar,05000US13171,Lamar County,6,H1,G4020,122,12060, ,A,475264443,6044329,33.0744405,-84.1466893,1.012444738,0.046478392
55,18,151,450390,18151,Steuben,05000US18151,Steuben County,6,H1,G4020,258,11420, ,A,799729298,35454787,41.643467,-85.0024051,1.244204577,0.090260344
56,48,361,1383966,48361,Orange,05000US48361,Orange County,6,H1,G4020, ,13140, ,A,864501083,118476414,30.1223229,-93.8940999,1.886193259,0.092014098
57,39,47,1074036,39047,Fayette,05000US39047,Fayette County,6,H1,G4020,198,47920, ,A,1052469899,1694038,39.5552462,-83.4618927,1.402314076,0.110481596
58,25,15,606934,25015,Hampshire,05000US25015,Hampshire County,6,H4,G4020, ,44140, ,N,1365534282,46667009,42.3394593,-72.6636936,3.000648657,0.154273718
59,21,3,516848,21003,Allen,05000US21003,Allen County,6,H1,G4020,150,14540, ,A,891838779,19482100,36.7507703,-86.192458,1.740779103,0.091960114
60,37,1,1008531,37001,Alamance,05000US37001,Alamance County,6,H1,G4020,268,15500, ,A,1096718106,27958505,36.0439535,-79.4005733,1.427116039,0.112478892
61,20,73,485003,20073,Greenwood,05000US20073,Greenwood County,6,H1,G4020, , , ,A,2961143639,24145021,37.8793472,-96.2417321,2.265352704,0.305712819
62,25,25,606939,25025,Suffolk,05000US25025,Suffolk County,6,H4,G4020,148,14460,14454,N,150863059,160514693,42.3385513,-71.018253,1.72980793,0.034020143
63,16,51,399751,16051,Jefferson,05000US16051,Jefferson County,6,H1,G4020,292,26820, ,A,2832617272,31168374,43.7969649,-112.3185879,3.011427582,0.320389018
